Alpha-3 code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR
GIN,Guinea,1323,28.9,17.8,3.4,809,18.0,10.9,2.2,0.623
CMR,Cameroon,2379,28.9,16.3,3.4,1453,18.1,10.0,2.2,0.626
ZAF,South Africa,9794,27.4,29.8,2.9,5165,14.4,15.7,1.6,0.526
SLE,Sierra Leone,721,25.9,16.6,2.9,439,16.1,10.1,1.9,0.622
GTM,Guatemala,1894,24.9,20.4,2.6,1108,15.0,11.9,1.6,0.602
TZA,"Tanzania, United Republic of",4966,24.8,14.4,2.9,3011,15.3,8.7,1.8,0.617
MRT,Mauritania,390,24.7,14.8,2.8,239,15.4,9.1,1.8,0.623
TGO,Togo,746,24.4,15.8,2.7,452,15.1,9.6,1.7,0.619
KEN,Kenya,4294,24.0,15.1,2.8,2606,14.9,9.2,1.7,0.621
JAM,Jamaica,438,23.8,30.5,2.4,237,12.7,16.5,1.4,0.534
PER,Peru,4814,23.7,28.0,2.5,2405,11.4,14.0,1.2,0.481
ROU,Romania,3666,23.5,37.4,2.5,1828,9.7,18.6,1.1,0.413
BHS,Bahamas,68,23.2,32.4,2.3,32,10.1,15.3,1.1,0.435
VEN,Venezuela,4012,23.0,27.9,2.3,2138,11.6,14.9,1.2,0.504
SOM,Somalia,1089,22.3,11.5,2.6,665,13.9,7.0,1.6,0.623
SSD,South Sudan,890,21.6,14.7,2.6,554,13.6,9.1,1.6,0.63
HTI,Haiti,1091,21.5,18.3,2.2,659,13.0,11.1,1.4,0.605
CAF,Central African Republic,257,21.4,9.3,2.5,167,14.2,6.0,1.7,0.664
BLZ,Belize,41,21.0,19.8,2.1,25,13.4,12.1,1.3,0.638
SUR,Suriname,76,20.6,23.9,2.3,45,11.9,14.2,1.4,0.578
ETH,Ethiopia,8159,20.2,12.4,2.4,5007,12.6,7.6,1.5,0.624
MDA,Republic of Moldova,440,19.9,26.9,1.9,177,6.6,10.8,0.7,0.332
NGA,Nigeria,12312,19.1,10.7,2.2,7599,12.0,6.6,1.4,0.628
